52.txt repeat2 476 True False 0,2|0,3|1,2|1,3 [empty] True
52.txt repeat3 476 True False 0,2|0,3|1,2|1,3 [empty] True
52.txt repeat4 531 True False 0,2|0,3|1,2|1,3 [empty] True
53.txt repeat0 752 True False 0,2|0,3|1,2|2,3 [empty] True
53.txt repeat1 621 True False 0,2|0,3|1,2|2,3 [empty] True
53.txt repeat2 621 True False 0,2|0,3|1,2|2,3 [empty] True
53.txt repeat3 752 True False 0,2|0,3|1,2|2,3 [empty] True
53.txt repeat4 621 True False 0,2|0,3|1,2|2,3 [empty] True
54.txt repeat0 668 True False 0,2|0,3|1,3|2,3 [empty] True
54.txt repeat1 668 True False 0,2|0,3|1,3|2,3 [empty] True
54.txt repeat2 668 True False 0,2|0,3|1,3|2,3 [empty] True
54.txt repeat3 508 True False 0,2|0,3|1,3|2,3 [empty] True
54.txt repeat4 612 True False 0,2|0,3|1,3|2,3 [empty] True
55.txt repeat0 524 True False 0,2|1,2|1,3|2,3 [empty] True
55.txt repeat1 557 True False 0,2|1,2|1,3|2,3 [empty] True
55.txt repeat2 557 True False 0,2|1,2|1,3|2,3 [empty] True
55.txt repeat3 557 True False 0,2|1,2|1,3|2,3 [empty] True
55.txt repeat4 452 True False 0,2|1,2|1,3|2,3 [empty] True
56.txt repeat0 682 True False 0,3|1,2|1,3|2,3 [empty] True
56.txt repeat1 682 True False 0,3|1,2|1,3|2,3 [empty] True
56.txt repeat2 582 True False 0,3|1,2|1,3|2,3 [empty] True
56.txt repeat3 591 True False 0,3|1,2|1,3|2,3 [empty] True
56.txt repeat4 480 True False 0,3|1,2|1,3|2,3 [empty] True
57.txt repeat0 556 True False 0,1|0,2|0,3|1,2|1,3 [empty] True
57.txt repeat1 556 True False 0,1|0,2|0,3|1,2|1,3 [empty] True
57.txt repeat2 556 True False 0,1|0,2|0,3|1,2|1,3 [empty] True
57.txt repeat3 606 True False 0,1|0,2|0,3|1,2|1,3 [empty] True
57.txt repeat4 556 True False 0,1|0,2|0,3|1,2|1,3 [empty] True
58.txt repeat0 567 True False 0,1|0,2|0,3|1,2|2,3 [empty] True
58.txt repeat1 804 True False 0,1|0,2|0,3|1,2|2,3 [empty] True
58.txt repeat2 804 True False 0,1|0,2|0,3|1,2|2,3 [empty] True
58.txt repeat3 804 True False 0,1|0,2|0,3|1,2|2,3 [empty] True
58.txt repeat4 804 True False 0,1|0,2|0,3|1,2|2,3 [empty] True
59.txt repeat0 610 True False 0,1|0,2|0,3|1,3|2,3 [empty] True
59.txt repeat1 494 True False 0,1|0,2|0,3|1,3|2,3 [empty] True
59.txt repeat2 494 True False 0,1|0,2|0,3|1,3|2,3 [empty] True
59.txt repeat3 494 True False 0,1|0,2|0,3|1,3|2,3 [empty] True
59.txt repeat4 543 True False 0,1|0,2|0,3|1,3|2,3 [empty] True
6.txt repeat0 387 False False 2,3 [empty] True
6.txt repeat1 387 False False 2,3 [empty] True
6.txt repeat2 317 False False 2,3 [empty] True
6.txt repeat3 387 False False 2,3 [empty] True
6.txt repeat4 387 False False 2,3 [empty] True
60.txt repeat0 471 True False 0,1|0,2|1,2|1,3|2,3 [empty] True
60.txt repeat1 471 True False 0,1|0,2|1,2|1,3|2,3 [empty] True
60.txt repeat2 471 True False 0,1|0,2|1,2|1,3|2,3 [empty] True
60.txt repeat3 471 True False 0,1|0,2|1,2|1,3|2,3 [empty] True
60.txt repeat4 492 True False 0,1|0,2|1,2|1,3|2,3 [empty] True
61.txt repeat0 503 True False 0,1|0,3|1,2|1,3|2,3 [empty] True
61.txt repeat1 438 True False 0,1|0,3|1,2|1,3|2,3 [empty] True
61.txt repeat2 503 True False 0,1|0,3|1,2|1,3|2,3 [empty] True
61.txt repeat3 438 True False 0,1|0,3|1,2|1,3|2,3 [empty] True
61.txt repeat4 477 True False 0,1|0,3|1,2|1,3|2,3 [empty] True
62.txt repeat0 812 True False 0,2|0,3|1,2|1,3|2,3 [empty] True
62.txt repeat1 589 True False 0,2|0,3|1,2|1,3|2,3 [empty] True
62.txt repeat2 612 True False 0,2|0,3|1,2|1,3|2,3 [empty] True
62.txt repeat3 683 True False 0,2|0,3|1,2|1,3|2,3 [empty] True
62.txt repeat4 612 True False 0,2|0,3|1,2|1,3|2,3 [empty] True
63.txt repeat0 540 True False 0,1|0,2|0,3|1,2|1,3|2,3 [empty] True
63.txt repeat1 446 True False 0,1|0,2|0,3|1,2|1,3|2,3 [empty] True
63.txt repeat2 608 True False 0,1|0,2|0,3|1,2|1,3|2,3 [empty] True
63.txt repeat3 608 True False 0,1|0,2|0,3|1,2|1,3|2,3 [empty] True
63.txt repeat4 608 True False 0,1|0,2|0,3|1,2|1,3|2,3 [empty] True
7.txt repeat0 457 False False 0,1|0,2 [empty] True
7.txt repeat1 443 False False 0,1|0,2 [empty] True
7.txt repeat2 457 False False 0,1|0,2 [empty] True
7.txt repeat3 457 False False 0,1|0,2 [empty] True
7.txt repeat4 457 False False 0,1|0,2 [empty] True
8.txt repeat0 315 False False 0,1|0,3 [empty] True
8.txt repeat1 315 False False 0,1|0,3 [empty] True
8.txt repeat2 315 False False 0,1|0,3 [empty] True
8.txt repeat3 356 False False 0,1|0,3 [empty] True
8.txt repeat4 315 False False 0,1|0,3 [empty] True
9.txt repeat0 342 False False 0,1|1,2 [empty] True
9.txt repeat1 342 False False 0,1|1,2 [empty] True
9.txt repeat2 342 False False 0,1|1,2 [empty] True
9.txt repeat3 342 False False 0,1|1,2 [empty] True
9.txt repeat4 342 False False 0,1|1,2 [empty] True
